epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77435,1.7113,2.22525,1.7618,0.2507,0.56311,0.29438,0.16039,1.47775,7.9385,1.35576,0.0901,0.0001,0.0001
2,4.93273,1.32535,1.10451,1.38141,0.44029,0.51456,0.40286,0.1505,2.11815,4.69683,2.36716,0.0792058,0.000205842,0.000205842
3,7.52486,1.33298,1.02998,1.43793,0.10605,0.34951,0.06491,0.02096,2.97271,13.7301,4.49768,0.0683073,0.000307328,0.000307328
4,9.79518,1.24717,0.91365,1.37353,0.23226,0.21359,0.15242,0.0603,2.41788,9.29031,2.86894,0.0574045,0.000404458,0.000404458
5,12.0236,1.27568,0.95792,1.38577,0.02503,0.08738,0.01238,0.00231,3.72629,26.8768,4.61835,0.0464972,0.000497232,0.000497232
6,14.2246,1.30728,0.97068,1.40203,0.00481,0.01942,0.00209,0.00057,nan,nan,nan,0.0355857,0.00058565,0.00058565
7,16.4634,1.29034,0.99197,1.38863,0.00468,0.35922,0.00349,0.00137,nan,nan,nan,0.0246697,0.000669712,0.000669712
8,18.6472,1.3408,1.00869,1.4229,0.00662,0.30097,0.00609,0.00217,2.94491,21.865,3.7567,0.0137494,0.000749418,0.000749418
9,20.7876,1.24989,0.95909,1.3538,0.15888,0.23301,0.0851,0.02651,2.61782,5.61757,2.80825,0.00282477,0.000824768,0.000824768
10,22.9144,1.22944,0.93726,1.33983,0.39248,0.45631,0.36744,0.17095,1.99286,5.05194,2.25225,0.0008218,0.0008218,0.0008218
11,25.2341,1.21485,0.90909,1.32221,0.58427,0.61165,0.55284,0.28798,1.79043,2.58544,1.96356,0.000802,0.000802,0.000802
