epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.81725,1.55224,2.26393,1.90892,0.41423,0.42718,0.34079,0.16159,1.89764,2.22977,2.33967,0.08713,0.00013,0.00013
2,13.9094,1.35978,1.24382,1.67678,0.00277,0.1068,0.00116,0.00051,3.01171,inf,7.4593,0.0732647,0.000264654,0.000264654
3,21.8933,1.40782,1.31294,1.7416,0,0,0,0,nan,nan,nan,0.0593938,0.000393764,0.000393764
4,29.1312,1.35526,1.22676,1.66078,0,0,0,0,nan,nan,nan,0.0455173,0.00051733,0.00051733
5,36.4374,1.33521,1.20911,1.64911,0.02642,0.37864,0.01859,0.00532,3.15931,82.4962,14.08,0.0316354,0.000635352,0.000635352
6,43.6268,1.33428,1.13468,1.6149,0.1015,0.40777,0.07011,0.02454,2.55626,8.70682,3.93911,0.0177478,0.00074783,0.00074783
7,51.1265,1.32423,1.15008,1.63741,0.05304,0.03883,0.00649,0.00191,3.61541,4.34123,3.7978,0.00385476,0.000854764,0.000854764
8,59.5026,1.35644,1.18497,1.65706,0.0047,0.14563,0.00314,0.00125,3.45171,11.6208,4.21796,0.0008614,0.0008614,0.0008614
9,67.3585,1.2836,1.12494,1.58674,0.04731,0.08738,0.01212,0.0045,nan,nan,nan,0.0008416,0.0008416,0.0008416
10,75.3744,1.30902,1.11847,1.59937,0.12284,0.08738,0.03578,0.01318,nan,nan,nan,0.0008218,0.0008218,0.0008218
11,82.7158,1.2859,1.05949,1.57367,0.24714,0.30097,0.12812,0.03768,2.94849,2.88232,3.42659,0.000802,0.000802,0.000802
