epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.25965,1.98753,4.86109,1.58169,0.00146,0.15,0.00393,0.00232,1.54119,4.03142,1.24956,0.097003,3e-06,3e-06
2,1.77835,1.80767,5.05866,1.44984,0,0,0,0,1.78594,4.70729,2.01168,0.093007,6.9538e-06,6.9538e-06
3,2.3291,1.01017,4.19649,1.02274,8e-05,0.04444,0.00033,0.0001,2.58904,4.32148,1.84528,0.0890109,1.08548e-05,1.08548e-05
4,2.88964,0.9415,4.06029,0.91298,0,0,0,0,1.15471,4.01732,1.06608,0.0850147,1.4703e-05,1.4703e-05
5,3.42848,0.8546,3.44766,0.90804,0,0,0,0,1.34839,4.11441,1.20819,0.0810185,1.84984e-05,1.84984e-05
6,3.96823,0.90443,3.53265,0.9302,0.00059,0.10648,0.00063,0.00045,1.31762,4.1221,1.23876,0.0770222,2.2241e-05,2.2241e-05
7,4.5084,0.86828,2.93375,0.91922,0,0,0,0,1.34213,4.21383,1.26025,0.0730259,2.59308e-05,2.59308e-05
8,5.04945,0.87924,3.01232,0.94039,9e-05,0.02778,0.00017,8e-05,1.64837,4.0776,1.35718,0.0690296,2.95678e-05,2.95678e-05
9,5.66503,0.90464,2.90792,0.92317,0.00013,0.04167,0.00044,0.00029,1.55924,4.08234,1.28965,0.0650332,3.3152e-05,3.3152e-05
10,6.19611,0.80242,2.65009,0.89391,0.00056,0.05556,0.00114,0.00046,1.41371,4.06155,1.2274,0.0610367,3.66834e-05,3.66834e-05
11,6.73596,0.81775,2.59623,0.91639,5e-05,0.01389,3e-05,1e-05,1.27479,4.11298,1.19098,0.0570402,4.0162e-05,4.0162e-05
12,7.25981,0.86047,2.54877,0.90055,5e-05,0.01389,3e-05,1e-05,1.23638,4.10689,1.13944,0.0530436,4.35878e-05,4.35878e-05
13,7.7834,0.79506,2.44683,0.89867,0.00011,0.02778,9e-05,4e-05,1.15337,4.08712,1.07088,0.049047,4.69608e-05,4.69608e-05
14,8.31485,0.87226,2.36609,0.97436,0.00027,0.05556,0.00028,0.0002,0.98611,4.06378,0.9915,0.0450503,5.0281e-05,5.0281e-05
15,8.85115,0.805,2.30517,0.91455,0.00062,0.08333,0.01085,0.00997,0.83033,4.0241,0.91302,0.0410535,5.35484e-05,5.35484e-05
16,9.44623,0.91922,2.68891,1.01778,0.02085,0.13889,0.03356,0.02716,0.72897,3.95859,0.8738,0.0370568,5.6763e-05,5.6763e-05
17,9.97881,0.81048,2.19794,0.94869,0.15107,0.24167,0.15,0.12794,0.70401,3.86887,0.86042,0.0330599,5.99248e-05,5.99248e-05
18,10.5155,0.79337,2.16116,0.93819,0.10937,0.37778,0.20828,0.17805,0.70655,3.7796,0.85786,0.029063,6.30338e-05,6.30338e-05
19,11.0567,0.75767,2.08139,0.87878,0.18747,0.51852,0.30662,0.26292,0.70832,3.71248,0.8579,0.0250661,6.609e-05,6.609e-05
20,11.5915,0.72316,1.95094,0.89358,0.21305,0.5963,0.38548,0.33294,0.71436,3.65421,0.86049,0.0210691,6.90934e-05,6.90934e-05
21,12.1204,0.728,1.9126,0.88075,0.27525,0.78148,0.48345,0.41302,0.71028,3.57697,0.86515,0.017072,7.2044e-05,7.2044e-05
22,12.657,0.75257,1.93444,0.92321,0.25529,0.9,0.56411,0.48543,0.70224,3.47611,0.86891,0.0130749,7.49418e-05,7.49418e-05
23,13.2467,0.67015,1.78084,0.88866,0.23467,0.97037,0.61202,0.51908,0.70357,3.37012,0.87695,0.00907779,7.77868e-05,7.77868e-05
24,13.7798,0.75759,1.97651,0.9168,0.19326,0.97037,0.68141,0.57786,0.70214,3.25013,0.87849,0.00508058,8.0579e-05,8.0579e-05
25,14.3123,0.67515,1.64972,0.90781,0.16154,0.98889,0.70988,0.60421,0.69357,3.11845,0.87249,0.00108332,8.33184e-05,8.33184e-05
26,14.8486,0.63639,1.5847,0.86467,0.15219,0.98889,0.72649,0.62971,0.67802,3.00611,0.86685,8.35e-05,8.35e-05,8.35e-05
27,15.3786,0.71994,1.6662,0.89475,0.13938,0.98889,0.75697,0.65806,0.67036,2.88142,0.86338,8.284e-05,8.284e-05,8.284e-05
28,15.9117,0.63751,1.49374,0.86672,0.54091,0.7637,0.78724,0.67727,0.66527,2.74108,0.86133,8.218e-05,8.218e-05,8.218e-05
29,16.4501,0.70302,1.58731,0.92351,0.96503,0.30908,0.823,0.71206,0.66391,2.57625,0.8639,8.152e-05,8.152e-05,8.152e-05
30,17.049,0.65471,1.40171,0.88805,0.99527,0.43102,0.87052,0.75079,0.65398,2.42642,0.86534,8.086e-05,8.086e-05,8.086e-05
31,17.5886,0.71297,1.57011,0.89059,0.98418,0.545,0.89945,0.7669,0.65681,2.2493,0.86804,8.02e-05,8.02e-05,8.02e-05
32,18.1251,0.63185,1.31051,0.8699,0.92682,0.61621,0.92854,0.78593,0.67775,2.06605,0.87144,7.954e-05,7.954e-05,7.954e-05
33,18.6621,0.62595,1.32995,0.87037,0.86875,0.71459,0.94215,0.78285,0.69169,1.87736,0.87271,7.888e-05,7.888e-05,7.888e-05
34,19.1914,0.67564,1.46018,0.90404,0.86772,0.79061,0.96344,0.80733,0.68905,1.71074,0.86994,7.822e-05,7.822e-05,7.822e-05
35,19.7252,0.6849,1.3657,0.86955,0.88197,0.83788,0.96717,0.80719,0.67743,1.54947,0.86687,7.756e-05,7.756e-05,7.756e-05
36,20.3175,0.68482,1.27796,0.92419,0.86348,0.8487,0.96532,0.81323,0.66568,1.45921,0.86637,7.69e-05,7.69e-05,7.69e-05
37,20.8526,0.6584,1.27547,0.8829,0.84666,0.8866,0.97037,0.80926,0.69227,1.38149,0.87375,7.624e-05,7.624e-05,7.624e-05
38,21.3863,0.61359,1.12634,0.84368,0.8871,0.91095,0.97683,0.7999,0.71523,1.27789,0.8785,7.558e-05,7.558e-05,7.558e-05
39,21.9166,0.64752,1.27378,0.87161,0.88342,0.93782,0.98456,0.81671,0.71041,1.14153,0.87653,7.492e-05,7.492e-05,7.492e-05
40,22.45,0.61826,1.2423,0.87355,0.91517,0.93315,0.98955,0.82979,0.68461,1.05165,0.87144,7.426e-05,7.426e-05,7.426e-05
41,22.9841,0.58223,1.07764,0.85579,0.92264,0.92422,0.9854,0.83696,0.6538,1.01397,0.86683,7.36e-05,7.36e-05,7.36e-05
42,23.517,0.60664,1.10609,0.8776,0.91325,0.94427,0.98437,0.84635,0.63788,0.9631,0.86352,7.294e-05,7.294e-05,7.294e-05
43,24.0624,0.61825,1.11802,0.88987,0.90799,0.95779,0.97503,0.84045,0.6254,0.92361,0.86055,7.228e-05,7.228e-05,7.228e-05
44,24.5945,0.58785,1.07927,0.87483,0.90876,0.95259,0.97352,0.83765,0.61931,0.87185,0.86096,7.162e-05,7.162e-05,7.162e-05
45,25.1249,0.60906,1.01821,0.88235,0.90569,0.95953,0.98036,0.84141,0.61165,0.81486,0.85979,7.096e-05,7.096e-05,7.096e-05
46,25.6585,0.60952,1.00171,0.8794,0.9331,0.94681,0.99042,0.85123,0.61172,0.75175,0.85896,7.03e-05,7.03e-05,7.03e-05
47,26.192,0.62516,1.02902,0.96724,0.93228,0.96302,0.9913,0.85518,0.60612,0.68951,0.85722,6.964e-05,6.964e-05,6.964e-05
48,26.7295,0.58972,0.9808,0.88533,0.93856,0.983,0.99183,0.86393,0.6073,0.65245,0.85858,6.898e-05,6.898e-05,6.898e-05
49,27.2704,0.60757,1.02247,0.84996,0.94651,0.97954,0.99315,0.86585,0.61277,0.6384,0.86251,6.832e-05,6.832e-05,6.832e-05
50,27.8646,0.56412,0.92433,0.86516,0.94128,0.97276,0.99399,0.86256,0.61836,0.62611,0.86699,6.766e-05,6.766e-05,6.766e-05
51,28.3935,0.58751,0.88403,0.84765,0.92256,0.97982,0.99399,0.85398,0.64402,0.62594,0.87883,6.7e-05,6.7e-05,6.7e-05
52,28.9237,0.62721,0.86781,0.84916,0.91602,0.97904,0.99399,0.84341,0.65472,0.61856,0.88479,6.634e-05,6.634e-05,6.634e-05
53,29.4529,0.5791,0.87558,0.84573,0.91975,0.97585,0.995,0.84789,0.64905,0.60719,0.88422,6.568e-05,6.568e-05,6.568e-05
54,29.9768,0.57187,0.82726,0.85375,0.91939,0.97839,0.995,0.85127,0.62802,0.59194,0.87578,6.502e-05,6.502e-05,6.502e-05
55,30.5119,0.56872,0.8956,0.85444,0.92506,0.97702,0.995,0.84649,0.63612,0.58686,0.87879,6.436e-05,6.436e-05,6.436e-05
56,31.1044,0.58893,0.91162,0.88087,0.928,0.97488,0.995,0.82259,0.66718,0.58458,0.89051,6.37e-05,6.37e-05,6.37e-05
57,31.6345,0.56085,0.86503,0.87415,0.93434,0.97064,0.995,0.81899,0.69584,0.5939,0.90065,6.304e-05,6.304e-05,6.304e-05
58,32.1629,0.53778,0.77933,0.84543,0.93367,0.97969,0.995,0.84166,0.64735,0.57267,0.88149,6.238e-05,6.238e-05,6.238e-05
59,32.6959,0.54307,0.83184,0.84972,0.93802,0.98938,0.995,0.86451,0.60851,0.5504,0.86722,6.172e-05,6.172e-05,6.172e-05
60,33.2298,0.55769,0.85126,0.87927,0.94974,0.98245,0.995,0.87701,0.59184,0.53818,0.86032,6.106e-05,6.106e-05,6.106e-05
61,33.7679,0.56292,0.8459,0.83944,0.95833,0.98065,0.995,0.87401,0.57479,0.52717,0.85535,6.04e-05,6.04e-05,6.04e-05
62,34.3,0.55378,0.87498,0.86912,0.96564,0.98009,0.995,0.8774,0.57391,0.51628,0.85363,5.974e-05,5.974e-05,5.974e-05
63,34.8962,0.59445,0.97694,0.89284,0.969,0.97916,0.995,0.86837,0.57229,0.50901,0.85386,5.908e-05,5.908e-05,5.908e-05
64,35.4258,0.51167,0.83089,0.8491,0.96717,0.98378,0.995,0.88157,0.56359,0.50256,0.85405,5.842e-05,5.842e-05,5.842e-05
65,35.9619,0.53694,0.80452,0.84625,0.96709,0.97955,0.995,0.88182,0.58439,0.51395,0.8588,5.776e-05,5.776e-05,5.776e-05
66,36.5038,0.55751,0.78303,0.85541,0.96995,0.9751,0.995,0.86908,0.60079,0.51883,0.86153,5.71e-05,5.71e-05,5.71e-05
67,37.0358,0.55518,0.84099,0.84031,0.96833,0.97757,0.995,0.87282,0.58983,0.51376,0.85972,5.644e-05,5.644e-05,5.644e-05
68,37.5636,0.56157,0.83049,0.84699,0.96994,0.97739,0.995,0.873,0.5765,0.51888,0.85719,5.578e-05,5.578e-05,5.578e-05
69,38.0934,0.52163,0.71027,0.83067,0.97175,0.97795,0.995,0.87596,0.57008,0.51373,0.85576,5.512e-05,5.512e-05,5.512e-05
70,38.6846,0.52356,0.76735,0.85027,0.97394,0.97908,0.995,0.87837,0.56169,0.49578,0.85439,5.446e-05,5.446e-05,5.446e-05
71,39.2172,0.48706,0.73829,0.82991,0.97333,0.97758,0.995,0.87628,0.56141,0.48985,0.85468,5.38e-05,5.38e-05,5.38e-05
72,39.7487,0.51736,0.71265,0.85557,0.96857,0.98123,0.995,0.87967,0.56039,0.49304,0.85579,5.314e-05,5.314e-05,5.314e-05
73,40.2768,0.52464,0.7771,0.82802,0.96231,0.98286,0.995,0.8793,0.56386,0.49709,0.85648,5.248e-05,5.248e-05,5.248e-05
74,40.8102,0.51799,0.696,0.84565,0.95175,0.98818,0.995,0.87967,0.56966,0.50027,0.85822,5.182e-05,5.182e-05,5.182e-05
75,41.3407,0.53994,0.8326,0.83762,0.94513,0.99149,0.995,0.88077,0.57032,0.50296,0.85795,5.116e-05,5.116e-05,5.116e-05
76,41.8737,0.55674,0.85331,0.83186,0.94459,0.98895,0.995,0.87455,0.56528,0.50186,0.85595,5.05e-05,5.05e-05,5.05e-05
77,42.4726,0.5015,0.81019,0.82931,0.94729,0.9838,0.995,0.86154,0.57557,0.50337,0.85715,4.984e-05,4.984e-05,4.984e-05
78,43.005,0.4939,0.7417,0.86021,0.95657,0.97855,0.995,0.85289,0.59454,0.50297,0.85977,4.918e-05,4.918e-05,4.918e-05
79,43.5381,0.54381,0.82572,0.8453,0.96054,0.97875,0.995,0.85855,0.58101,0.49645,0.85554,4.852e-05,4.852e-05,4.852e-05
80,44.0692,0.52066,0.74844,0.83709,0.96673,0.97771,0.995,0.87986,0.5647,0.49191,0.85179,4.786e-05,4.786e-05,4.786e-05
81,44.5992,0.49867,0.74062,0.82757,0.97253,0.97786,0.995,0.87976,0.55262,0.48071,0.84911,4.72e-05,4.72e-05,4.72e-05
82,45.132,0.47524,0.78277,0.84068,0.97336,0.9795,0.995,0.87863,0.55185,0.47349,0.84953,4.654e-05,4.654e-05,4.654e-05
83,45.7175,0.55293,0.74245,0.84538,0.97302,0.98277,0.995,0.86923,0.5518,0.46936,0.85109,4.588e-05,4.588e-05,4.588e-05
84,46.2458,0.51354,0.77892,0.83277,0.97561,0.97737,0.995,0.87282,0.55507,0.47512,0.85351,4.522e-05,4.522e-05,4.522e-05
85,46.7782,0.54051,0.71914,0.87336,0.97686,0.97511,0.995,0.86525,0.54929,0.4709,0.85423,4.456e-05,4.456e-05,4.456e-05
86,47.3105,0.48483,0.6609,0.84736,0.97615,0.97445,0.995,0.87149,0.53899,0.46991,0.85298,4.39e-05,4.39e-05,4.39e-05
87,47.8415,0.56719,1.11542,0.82597,0.9761,0.97337,0.995,0.88608,0.53748,0.4664,0.85156,4.324e-05,4.324e-05,4.324e-05
88,48.3829,0.51784,0.68851,0.8556,0.97591,0.97129,0.995,0.89202,0.53782,0.46679,0.84959,4.258e-05,4.258e-05,4.258e-05
89,48.9183,0.53732,0.81229,0.86095,0.97746,0.97345,0.995,0.8856,0.53675,0.46619,0.85084,4.192e-05,4.192e-05,4.192e-05
