epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.04635,2.68468,4.80779,2.61797,0.01567,0.71676,0.06487,0.05706,0.49448,3.53989,0.82779,0.09703,3e-05,3e-05
2,1.52618,2.62077,4.88468,2.42938,0.0235,0.37827,0.02647,0.02173,0.5869,3.5719,0.87633,0.09307,6.99845e-05,6.99845e-05
3,2.03601,2.59524,4.72554,2.48768,0.00071,0.11795,0.00191,0.00102,1.61836,4.1556,1.77949,0.0891099,0.000109902,0.000109902
4,2.53707,2.12353,4.47773,2.29682,0.00063,0.10487,0.00229,0.00064,2.22591,4.45898,2.44251,0.0851497,0.0001497,0.0001497
5,3.0308,2.07102,4.55751,2.24872,0.00065,0.0756,0.00272,0.00058,2.52715,4.67855,2.87495,0.0811893,0.000189326,0.000189326
6,3.52864,2.01026,4.36402,2.13866,0.00115,0.08468,0.00266,0.00061,2.45151,4.68214,2.81946,0.0772287,0.000228726,0.000228726
7,4.02307,2.09964,4.4352,2.16573,0.00093,0.07945,0.00119,0.00023,2.57816,4.698,2.90862,0.0732678,0.000267848,0.000267848
8,4.56806,2.24621,4.40654,2.31333,0.00067,0.08403,0.00104,0.00027,2.70994,4.73917,3.03542,0.0693066,0.00030664,0.00030664
9,5.08046,2.21471,4.34412,2.2367,0.0015,0.12244,0.00176,0.00056,2.75497,4.77427,3.04655,0.0653451,0.000345052,0.000345052
10,5.6209,2.04587,4.22241,2.22752,0.00242,0.0861,0.00312,0.00059,2.65982,4.79656,2.93136,0.061383,0.000383032,0.000383032
11,6.11363,2.16116,4.11166,2.30608,0.00162,0.0781,0.00201,0.00038,2.75915,4.78024,3.19076,0.0574205,0.000420529,0.000420529
12,6.61279,2.14709,4.13805,2.27446,0.00253,0.10841,0.00216,0.00067,2.42299,4.75141,2.80741,0.0534575,0.000457496,0.000457496
13,7.10786,2.17004,4.03871,2.31006,0.00237,0.12363,0.00421,0.00134,2.28759,4.75014,2.78067,0.0494939,0.000493884,0.000493884
14,7.67556,2.17584,4.04716,2.43068,0.00244,0.12071,0.00317,0.00108,2.19066,4.71706,2.69408,0.0455296,0.000529644,0.000529644
15,8.16001,2.13046,4.04433,2.33189,0.00227,0.11959,0.00369,0.00086,2.10889,4.65394,2.56195,0.0415647,0.000564732,0.000564732
16,8.65765,2.19202,3.97562,2.39906,0.00281,0.1568,0.00771,0.00145,1.88004,4.44934,2.18806,0.0375991,0.0005991,0.0005991
17,9.15155,2.15833,3.95842,2.35663,0.00314,0.18394,0.00563,0.00185,1.94019,4.36805,2.21996,0.0336327,0.000632706,0.000632706
18,9.64241,2.08961,3.99642,2.22407,0.00484,0.25122,0.00772,0.00208,2.11464,4.34632,2.3591,0.0296655,0.000665507,0.000665507
19,10.1417,2.07573,3.85037,2.19936,0.00587,0.23377,0.00763,0.00204,2.33031,4.36016,2.59713,0.0256975,0.000697461,0.000697461
20,10.6382,2.15425,3.79197,2.31216,0.00308,0.12344,0.00299,0.00066,2.53317,4.52646,2.92584,0.0217285,0.000728527,0.000728527
21,11.1999,2.26073,3.92727,2.3992,0.00464,0.18479,0.00559,0.00128,2.39145,4.32118,2.72438,0.0177587,0.000758668,0.000758668
