epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.12429,0.8531,3.74419,1.11487,0.01507,0.68707,0.06857,0.06161,0.49116,3.56744,0.83857,0.0973,0.0003,0.0003
2,1.71586,0.98862,3.59587,1.13255,0.014,0.26549,0.04851,0.03771,0.94677,3.30966,0.97507,0.0936861,0.00068614,0.00068614
3,2.34889,0.87961,3.06134,1.0391,0.02397,0.56151,0.09806,0.07595,0.7675,3.19678,0.92021,0.0900564,0.00105644,0.00105644
4,3.08535,0.84787,2.70001,1.04664,0.01314,0.61719,0.0666,0.03793,1.21333,3.43978,1.44206,0.0864109,0.0014109,0.0014109
5,3.76439,0.81967,2.47004,1.04572,0.08197,0.5203,0.08845,0.03938,1.50241,3.74596,1.97228,0.0827495,0.00174952,0.00174952
6,4.44096,0.80773,2.27981,1.02074,0.9181,0.01765,0.01282,0.00461,3.29782,5.50791,8.82963,0.0790723,0.0020723,0.0020723
7,5.07234,0.82337,2.14244,1.00727,0.24049,0.07303,0.01214,0.00214,3.78539,35.8481,13.5882,0.0753792,0.00237924,0.00237924
8,5.9612,0.85918,2.03501,1.02935,0.00063,0.00769,0.00026,0.0001,4.2097,122.653,14.7934,0.0716703,0.00267034,0.00267034
9,6.6586,0.79664,1.90591,1.013,0.00758,0.03024,0.00351,0.00185,3.86715,41.776,10.4604,0.0679456,0.0029456,0.0029456
10,7.34534,0.78119,1.76609,1.00288,0.00012,0.02667,8e-05,4e-05,3.76998,inf,16.2333,0.064205,0.00320502,0.00320502
11,8.0158,0.85866,1.69412,1.02982,0.00024,0.02667,0.00018,9e-05,4.25125,inf,23.1108,0.0604486,0.0034486,0.0034486
12,8.68892,0.83464,1.66721,1.02883,0.00023,0.01922,0.00016,6e-05,4.23424,inf,20.8617,0.0566763,0.00367634,0.00367634
13,9.35123,0.78517,1.55999,0.97143,0.00262,0.16922,0.00226,0.00053,4.17433,inf,11.3999,0.0528882,0.00388824,0.00388824
